,national_qr,international_qr,date_first_detected,date_last_detected
2c51caee7828acafe536ea48406e8942,,1.0,2021-11-07,2024-06-16
e6fe4171994b52fcda9e2cc0e4a1340e,,1.0,2021-11-07,2024-06-16
ec039f6348d298295762d5fe391e8479,,1.0,2021-11-07,2024-06-16
cf1bea804e394649b7d5d4e7a8717de3,,1.0,2021-11-07,2024-06-16
ee55755fbe1acbc82c62d6585bf720bf,,1.0,2021-11-07,2024-06-16
f678ef3a4144502aa71d9d73ee60ddbc,,1.0,2021-11-07,2024-06-16
7b4bde1c1baa2617f16fc8b9b60aecc0,,1.0,2021-11-07,2024-06-16
b63d55e5cc267cd87a4169c0b028178e,,1.0,2021-11-07,2024-06-16
24807e8d3546e90819a21876a358657f,,1.0,2021-11-07,2024-06-16
7f45fbb5cd277ea8d7ef3e1cb53763b1,,1.0,2021-11-07,2024-06-16
9bd07a1a1dbe3b6a4a03bbf07c4241a4,,1.0,2021-11-07,2024-06-16
f364c79ab041a569edcbe662e0a8f498,,1.0,2021-11-07,2024-06-16
c118902c52976512ee68385e7704c44a,,1.0,2021-11-07,2024-06-16
c1ccecf9fc369e8c1388a63418a5210b,,1.0,2021-11-07,2024-06-16
77d1ce93d3bce4e9b5d09471d8671ba7,,1.0,2021-11-07,2024-06-16
3e7bca74f3c888ccb8224af2a8adb25a,,1.0,2021-11-07,2024-06-16
63827043688db39aef70dd65d2165f9d,,1.0,2021-11-07,2024-06-16
a6fd6ebf7a581359f261befd6535b291,,1.0,2021-11-07,2024-06-16
4996bac65ef37354b964f51070ae4ed0,,1.0,2021-11-07,2024-06-16
e38a11540523df6136695a73c04ccc7f,,1.0,2021-11-07,2024-06-16
e4e6ae52508627b65f246503b87ea4fc,,1.0,2021-11-07,2024-06-16
9daa0f0132a62ac9e8f069a93f5edc3f,,1.0,2021-11-07,2024-06-16
3698b8a70382b63c5e50456dddf1b85d,,1.0,2021-11-07,2024-06-16
e04daea26396fa168c61e010bb774b0b,,1.0,2021-11-07,2024-06-16
f851ece242f147ed6a2e54c31d01a926,,1.0,2021-11-07,2024-06-16
93b52a75189f1cd61362bc8425ff128e,,1.0,2021-11-07,2024-06-16
25604b5c2ca7e06387dccd5245bff018,,1.0,2021-11-07,2024-06-16
bbd7eb27d743d9ff59253269e276b334,,1.0,2021-11-07,2024-06-16
7db5f2cf0d741d3c1ce15ef85dfd5b7a,,1.0,2021-11-07,2024-06-16
3ac85b9345764d63b199da2587ad9ff9,,1.0,2021-11-07,2024-06-16
933043c46028c61b60d9fb1ca13b57a4,,1.0,2021-11-07,2024-06-16
01d25e4ee0ac21c06c464a1e6ba748fd,,1.0,2021-11-07,2024-06-16
d1e6831c90ea8f46f22222c33bf5ddff,,1.0,2021-11-07,2024-06-16
3981785cda280256147272d95bec165a,,1.0,2021-11-07,2024-06-16
c90a4768b6cc7a3e195095df63e2882d,,1.0,2021-11-07,2024-06-16
5bed3db77cb375be428495e0dd1e7894,,1.0,2021-11-07,2024-06-16
f41d23ff520ec2e2ec1127b6be02472c,,1.0,2021-11-07,2024-06-16
d07d25b7b2b184b51d486a0cda8d91dd,,1.0,2021-11-07,2024-06-16
59202b4c523c51a239259198f1fb1aa7,,1.0,2021-11-07,2024-06-16
cc3c6e9555fd4154b46797bf16fe8090,,1.0,2021-11-07,2024-06-16
1a279063bf28297e90ae3c3330354db7,,1.0,2021-11-07,2024-06-16
49372bd93a5885c620e28e62725ef9f4,,1.0,2021-11-07,2024-06-16
7f306af0749ae122d09dc222f9a8e411,,1.0,2021-11-07,2024-06-16
625cce5b16daafb649c1b21812d31900,,1.0,2021-11-07,2024-06-16
07cc0acf61f30e85910701925b585ba0,,1.0,2021-11-07,2024-06-16
fd30e1f193d2684c4231a26d789c5a2b,,1.0,2021-11-07,2024-06-16
100ebde1964a5f4099c3169fd4e15b94,,1.0,2021-11-07,2024-06-16
29111086bce353b11443802419ff7bdd,,1.0,2021-11-07,2024-06-16
e7a3de2b8116f2b5431268aae89a4ce0,,1.0,2021-11-07,2024-06-16
93ae49d2a1f7a2e77ff34f0bf749fd9f,,1.0,2021-11-07,2024-06-16
6bfbef715ae5b0ff2ef87e49c152ab71,,1.0,2021-11-07,2024-06-16
ab3b288f12f91574e4e8c4b94821b184,,1.0,2021-11-07,2024-06-16
1c29c1e3febaf97ca90a9349e4af18db,,1.0,2021-11-07,2024-06-16
5fa0c6982f9627c71b2260c985558733,,1.0,2021-11-07,2024-06-16
0e3c0ccabf1dcc818f63bb751f9dcadb,,1.0,2021-11-07,2024-06-16
57980bcbd69bf35d6adf3fa2873b9ecf,,1.0,2021-11-07,2024-06-16
9d48e06f207fae67769e634c13c4822d,,1.0,2021-11-07,2024-06-16
1753137890da7e47308f0b8943231283,,1.0,2021-11-07,2024-06-16
a898ee1df156047d4a9ca6b2801807ac,,1.0,2021-11-07,2024-06-16
e691d97e1d09132564159bc860addd1a,,1.0,2021-11-07,2024-06-16
d73d7d800e08eded849793d9adf47b6d,,1.0,2021-11-07,2024-06-16
b70e61a54145994ce05c4596e6cdd7dd,,1.0,2021-11-07,2024-06-16
0404cadca566ab076bf272097abe7514,,1.0,2021-11-07,2024-06-16
a6d9f6ff64ce5e2a0202926382f9129d,,1.0,2021-11-07,2024-06-16
2ad0d30b53522f97a2d51b30bdabe67c,,1.0,2021-11-07,2024-06-16
96071c64c97af276a17af1bc32a03627,,1.0,2021-11-07,2024-06-16
6bed7f1c7fd64b0fc1dd8df30fd49bd9,,1.0,2021-11-07,2024-06-16
c4892d627b426707ed93bf8c5f1d7e00,,1.0,2021-11-07,2024-06-16
e787e2a1a9d3ff30c5ad14591ca5d59a,,1.0,2021-11-07,2024-06-16
02561b0f914ba17cd0b3b6477bc99437,,1.0,2021-11-07,2024-06-16
43c1954a1a173038c10e13ba0c0469bb,,1.0,2021-11-07,2024-06-16
